Version,Timestamp,Simuliertes Szenario,Steps,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,avg Zeit,avg Distanz in Metern,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,Flocking Config
3.0,2024-10-04T16:16:46.092564400,ENDE_EINER_SPUR,500,false,282,0,0,168.03476821192052,1597.0786936345762,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T16:20:20.375992100,ENDE_EINER_SPUR,500,true,186,26,0,221.5159705159705,1589.5436094887214,min:1  avg:30.503496503496503  max:419,min:1  avg:80.09497206703911  max:435,min:1  avg:138.39152119700748  max:260,min:1  avg:9.670157068062828  max:378,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T16:36:19.810535100,ENDE_EINER_SPUR,500,false,279,0,0,169.03833333333333,1609.393131561657,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T16:39:10.832516800,ENDE_EINER_SPUR,500,false,282,0,0,168.1647254575707,1602.3125885796408,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T16:42:20.898506300,ENDE_EINER_SPUR,500,false,284,0,0,168.98679867986797,1595.3613034011757,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T18:16:36.059017300,ENDE_EINER_SPUR,500,true,263,164,6,182.8921568627451,1786.8908344431782,min:1  avg:33.47012987012987  max:187,min:1  avg:45.70909090909091  max:255,min:1  avg:112.656  max:216,min:1  avg:6.050724637681159  max:129,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T18:19:36.500760700,ENDE_EINER_SPUR,500,true,271,138,5,177.53154875717019,1786.3368194914533,min:1  avg:27.847826086956523  max:179,min:1  avg:45.56521739130435  max:253,min:3  avg:110.41359223300971  max:210,min:1  avg:5.744755244755245  max:134,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T18:22:36.088196900,ENDE_EINER_SPUR,500,true,275,213,5,182.7651663405088,1832.0005870016232,min:1  avg:30.735294117647058  max:154,min:1  avg:43.448484848484846  max:269,min:2  avg:114.21696252465483  max:203,min:1  avg:5.718213058419244  max:126,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T18:41:29.832554100,ENDE_EINER_SPUR,500,true,266,147,7,183.83762376237624,1834.7463341930459,min:1  avg:26.84130982367758  max:171,min:1  avg:47.608247422680414  max:261,min:1  avg:115.07584830339322  max:214,min:1  avg:5.96415770609319  max:127,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T18:47:33.135160800,ENDE_EINER_SPUR,500,true,264,170,10,182.7651663405088,1832.5990238324896,min:1  avg:26.728365384615383  max:146,min:1  avg:46.77439024390244  max:245,min:2  avg:114.4970297029703  max:204,min:1  avg:5.953571428571428  max:126,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T19:09:16.284067,ENDE_EINER_SPUR,500,true,276,81,28,155.18041237113403,1790.3504754757753,min:1  avg:21.029598308668078  max:121,min:1  avg:48.316901408450704  max:198,min:2  avg:89.1280276816609  max:190,min:1  avg:5.697594501718213  max:127,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T19:14:38.078821600,ENDE_EINER_SPUR,500,true,251,101,34,171.5703422053232,1906.9428529418108,min:1  avg:24.651785714285715  max:144,min:1  avg:44.94082840236686  max:218,min:2  avg:107.06432748538012  max:196,min:1  avg:6.4638783269961975  max:127,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T19:47:26.012067400,ENDE_EINER_SPUR,500,true,306,106,13,156.50177304964538,1677.165041800712,min:1  avg:24.70164609053498  max:137,min:1  avg:45.86131386861314  max:191,min:2  avg:89.70938628158845  max:203,min:1  avg:5.213166144200627  max:117,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T19:50:38.590431200,ENDE_EINER_SPUR,500,true,305,137,19,152.9608540925267,1736.594035897619,min:1  avg:22.20489977728285  max:132,min:1  avg:45.38202247191011  max:200,min:1  avg:89.89821428571429  max:179,min:1  avg:5.177215189873418  max:118,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-05T22:55:07.464483700,ENDE_EINER_SPUR,500,true,311,82,17,153.96309314586995,1716.5810540302675,min:1  avg:21.765327695560252  max:123,min:1  avg:50.381294964028775  max:189,min:3  avg:85.3475935828877  max:181,min:1  avg:5.13125  max:117,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0 ohne cohesion,2024-10-05T23:20:33.779346700,ENDE_EINER_SPUR,500,true,193,22,0,217.00963855421688,1557.6253840353595,min:1  avg:30.782894736842106  max:417,min:1  avg:77.15733333333333  max:425,min:3  avg:135.35221674876848  max:253,min:1  avg:8.66161616161616  max:372,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-05T23:28:52.186884100,ENDE_EINER_SPUR,500,true,309,149,19,153.24647887323943,1732.8518047329526,min:1  avg:21.42369020501139  max:124,min:1  avg:42.165170556552965  max:202,min:1  avg:93.5372340425532  max:176,min:1  avg:5.075235109717869  max:118,Radius: 120 Spe1: 0.6 Sep2: 0.6
