Version,Timestamp,Simuliertes Szenario,Steps,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,avg Zeit,avg Distanz in Metern,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,Flocking Config
3.0,2024-10-08T17:16:01.633278900,"ENDE_EINER_SPUR 400 1,6 20",500,true,358,55,7,149.34602076124568,1800.0032615260693,min:1  avg:17.013921113689094  max:85,min:1  avg:52.67204301075269  max:153,min:3  avg:83.49912434325745  max:193,min:1  avg:5.669333333333333  max:125,Radius: 400 Cooldown: 20 MinOffset: 1.6
3.0,2024-10-08T17:21:36.270047400,"ENDE_EINER_SPUR 400 1,6 20",500,true,357,65,16,144.4593220338983,1841.0594010395876,min:1  avg:15.124413145539906  max:68,min:1  avg:52.8494623655914  max:160,min:1  avg:80.88034188034187  max:161,min:1  avg:5.950953678474114  max:119,Radius: 400 Cooldown: 20 MinOffset: 1.6
3.0,2024-10-08T17:27:40.722303800,"ENDE_EINER_SPUR 400 1,6 20",500,true,360,57,10,145.16390728476821,1789.3079846799674,min:1  avg:13.291764705882352  max:75,min:1  avg:53.34295415959253  max:177,min:1  avg:81.18394648829431  max:193,min:1  avg:6.0986666666666665  max:116,Radius: 400 Cooldown: 20 MinOffset: 1.6
3.0,2024-10-08T17:39:35.445990400,"ENDE_EINER_SPUR 400 1,5 10",500,true,348,56,6,148.14166666666668,1738.8843345498865,min:1  avg:13.797385620915033  max:75,min:1  avg:54.87800687285223  max:210,min:1  avg:82.42372881355932  max:171,min:1  avg:6.209497206703911  max:118,Radius: 400 Cooldown: 10 MinOffset: 1.5
3.0,2024-10-08T17:45:09.122029700,"ENDE_EINER_SPUR 400 1,5 10",500,true,354,58,13,143.2871287128713,1784.7911732408327,min:1  avg:14.802222222222222  max:94,min:1  avg:51.826235093696766  max:163,min:1  avg:79.79765886287625  max:169,min:1  avg:6.147138964577657  max:117,Radius: 400 Cooldown: 10 MinOffset: 1.5
3.0,2024-10-08T17:50:48.465226500,"ENDE_EINER_SPUR 400 1,5 10",500,true,344,83,5,154.1689655172414,1724.270596062161,min:1  avg:17.591304347826085  max:88,min:1  avg:57.19607843137255  max:180,min:1  avg:83.91474245115452  max:194,min:1  avg:6.20391061452514  max:118,Radius: 400 Cooldown: 10 MinOffset: 1.5
3.0,2024-10-08T17:56:26.967081300,"ENDE_EINER_SPUR 400 1,5 10",500,true,368,48,6,144.17560975609757,1766.5380909977405,min:1  avg:11.319829424307036  max:62,min:1  avg:54.75747508305648  max:174,min:1  avg:79.833607907743  max:171,min:1  avg:5.773936170212766  max:122,Radius: 400 Cooldown: 10 MinOffset: 1.5
3.0,2024-10-08T18:04:03.442708200,"ENDE_EINER_SPUR 400 1,5 20",500,true,353,56,6,157.36524822695034,1830.7680003496753,min:1  avg:18.183257918552037  max:87,min:2  avg:56.85610200364299  max:162,min:1  avg:85.04293381037567  max:181,min:1  avg:5.909836065573771  max:117,Radius: 400 Cooldown: 20 MinOffset: 1.5
3.0,2024-10-08T18:09:52.037031600,"ENDE_EINER_SPUR 400 1,5 20",500,true,360,51,12,145.56578947368422,1786.143986397875,min:1  avg:13.081264108352144  max:71,min:1  avg:55.06711409395973  max:171,min:1  avg:80.2964824120603  max:160,min:1  avg:5.867924528301887  max:117,Radius: 400 Cooldown: 20 MinOffset: 1.5
3.0,2024-10-08T18:15:51.949508400,"ENDE_EINER_SPUR 400 1,5 20",500,true,342,61,11,146.7809364548495,1752.054600917358,min:1  avg:16.6548463356974  max:73,min:1  avg:54.590753424657535  max:179,min:1  avg:78.93602693602693  max:163,min:1  avg:6.235795454545454  max:130,Radius: 400 Cooldown: 20 MinOffset: 1.5
3.0,2024-10-08T18:21:58.296821500,"ENDE_EINER_SPUR 400 1,5 20",500,true,347,85,5,152.61805555555554,1756.055354660806,min:1  avg:17.545253863134658  max:95,min:1  avg:53.716814159292035  max:199,min:1  avg:84.18197879858657  max:176,min:1  avg:6.094972067039106  max:119,Radius: 400 Cooldown: 20 MinOffset: 1.5
3.0,2024-10-08T18:35:01.574159400,"ENDE_EINER_SPUR 400 1,7 20",500,true,348,71,8,145.92845257903494,1765.9952557196077,min:1  avg:13.493150684931507  max:78,min:1  avg:53.24576271186441  max:187,min:1  avg:81.09715242881072  max:176,min:1  avg:6.128133704735376  max:137,Radius: 400 Cooldown: 20 MinOffset: 1.7
3.0,2024-10-08T18:40:56.442372700,"ENDE_EINER_SPUR 400 1,7 20",500,true,354,71,9,144.4688524590164,1761.4188794939328,min:1  avg:13.090128755364807  max:60,min:1  avg:53.19327731092437  max:184,min:1  avg:80.87290969899665  max:191,min:1  avg:6.238227146814404  max:117,Radius: 400 Cooldown: 20 MinOffset: 1.7
