Version,Timestamp,Simuliertes Szenario,Steps,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,avg Zeit,avg Distanz in Metern,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,Flocking Config
3.0,2024-10-07T15:39:14.324149900,ENDE_EINER_SPUR,500,true,335,28,7,151.81025641025641,1734.083273315827,min:1  avg:15.766666666666667  max:79,min:1  avg:63.72202797202797  max:224,min:1  avg:76.13888888888889  max:195,min:1  avg:4.8240469208211145  max:118,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0 mit generellen spurwechseln,2024-10-07T17:43:46.450958200,ENDE_EINER_SPUR,500,true,353,77,12,145.97512437810946,1739.9681474947329,min:1  avg:17.10828025477707  max:88,min:1  avg:50.77054794520548  max:180,min:1  avg:81.28067226890757  max:164,min:1  avg:5.986263736263736  max:120,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0 nur mit ending spurwechseln,2024-10-07T17:51:04.544010600,ENDE_EINER_SPUR,500,true,335,47,7,148.34010152284264,1716.1637538573702,min:1  avg:17.027368421052632  max:101,min:1  avg:58.38782608695652  max:199,min:2  avg:76.3527397260274  max:177,min:1  avg:4.853801169590644  max:116,Radius: 120 Spe1: 0.6 Sep2: 0.6
"3.0 mit generellen spurwechseln 500, 1.3, 30",2024-10-07T17:57:18.403616200,ENDE_EINER_SPUR,500,true,348,73,7,149.8785834738617,1736.3608261203217,min:1  avg:16.46818181818182  max:99,min:1  avg:54.40759930915371  max:202,min:1  avg:82.65635738831615  max:186,min:1  avg:6.281337047353761  max:118,Radius: 120 Spe1: 0.6 Sep2: 0.6
"3.0 mit generellen spurwechseln 500, 1.4, 20",2024-10-07T18:05:37.860383200,ENDE_EINER_SPUR,500,true,346,70,15,145.62735042735042,1822.833666134276,min:1  avg:14.60431654676259  max:73,min:1  avg:52.064516129032256  max:165,min:1  avg:83.45217391304348  max:186,min:1  avg:6.247252747252747  max:124,Radius: 120 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-07T18:15:55.324325600,ENDE_EINER_SPUR,500,true,344,74,6,157.58875219683657,1763.9826715095342,min:1  avg:17.70715835140998  max:81,min:1  avg:56.631484794275494  max:181,min:2  avg:85.09608540925267  max:169,min:1  avg:6.213888888888889  max:119,Radius: 500 Cooldown: 10 MinOffset: 1.1
3.0,2024-10-07T18:20:53.724082,ENDE_EINER_SPUR,500,true,353,64,9,146.19127516778522,1783.0576091014661,min:1  avg:14.542528735632184  max:80,min:1  avg:49.015517241379314  max:173,min:1  avg:86.06825938566553  max:179,min:1  avg:5.786096256684492  max:126,Radius: 500 Cooldown: 10 MinOffset: 1.3
3.0,2024-10-07T18:26:07.117227,ENDE_EINER_SPUR,500,true,339,72,12,146.0612244897959,1749.5709398677504,min:1  avg:17.602298850574712  max:89,min:1  avg:50.74300699300699  max:211,min:1  avg:81.0704467353952  max:185,min:1  avg:6.46685878962536  max:117,Radius: 500 Cooldown: 10 MinOffset: 1.5
3.0,2024-10-07T18:31:18.705378300,ENDE_EINER_SPUR,500,true,370,58,11,142.22940226171244,1802.5034354670095,min:1  avg:13.334841628959277  max:71,min:1  avg:51.127906976744185  max:174,min:1  avg:80.79901960784314  max:153,min:1  avg:5.674603174603175  max:116,Radius: 500 Cooldown: 10 MinOffset: 1.7
3.0,2024-10-07T18:36:36.122043100,ENDE_EINER_SPUR,500,true,341,73,13,146.8091216216216,1785.8996800805348,min:1  avg:15.271028037383177  max:90,min:1  avg:52.18324607329843  max:186,min:1  avg:82.83247863247863  max:175,min:1  avg:6.369318181818182  max:116,Radius: 500 Cooldown: 10 MinOffset: 1.9
3.0,2024-10-07T18:41:51.075837,ENDE_EINER_SPUR,500,true,352,53,14,145.2565789473684,1786.3855264308443,min:1  avg:13.251700680272108  max:83,min:1  avg:54.994949494949495  max:176,min:1  avg:79.74333333333334  max:163,min:1  avg:5.991780821917808  max:126,Radius: 500 Cooldown: 30 MinOffset: 1.1
3.0,2024-10-07T18:47:03.533879,ENDE_EINER_SPUR,500,true,326,69,8,150.88062283737025,1734.3296912196224,min:1  avg:20.235023041474655  max:103,min:1  avg:52.93023255813954  max:214,min:1  avg:81.4006968641115  max:202,min:1  avg:6.997023809523809  max:117,Radius: 500 Cooldown: 30 MinOffset: 1.3
3.0,2024-10-07T18:52:18.885937100,ENDE_EINER_SPUR,500,true,360,51,8,151.13080895008605,1797.6657279991914,min:1  avg:14.437054631828978  max:61,min:1  avg:55.33978873239437  max:183,min:1  avg:84.19337979094077  max:189,min:1  avg:5.76657824933687  max:117,Radius: 500 Cooldown: 30 MinOffset: 1.5
3.0,2024-10-07T18:57:45.007719800,ENDE_EINER_SPUR,500,true,341,65,8,150.780276816609,1780.1306833581928,min:1  avg:15.225181598062955  max:92,min:1  avg:54.25840707964602  max:198,min:1  avg:84.85035211267606  max:173,min:1  avg:6.290140845070423  max:129,Radius: 500 Cooldown: 30 MinOffset: 1.7
3.0,2024-10-07T19:03:07.926446400,ENDE_EINER_SPUR,500,true,365,52,14,142.13911620294598,1756.701553365652,min:1  avg:13.863539445628998  max:83,min:1  avg:50.76570458404075  max:162,min:1  avg:80.53078202995009  max:161,min:1  avg:5.893229166666667  max:118,Radius: 500 Cooldown: 30 MinOffset: 1.9
3.0,2024-10-07T19:08:32.418421400,ENDE_EINER_SPUR,500,true,361,66,20,141.85409836065574,1802.2867044053764,min:1  avg:10.995454545454546  max:52,min:1  avg:54.91638225255973  max:156,min:1  avg:78.5388429752066  max:161,min:1  avg:5.88  max:121,Radius: 500 Cooldown: 50 MinOffset: 1.1
3.0,2024-10-07T19:13:47.056008400,ENDE_EINER_SPUR,500,true,358,69,16,143.53949579831934,1800.633349589357,min:1  avg:14.968036529680365  max:75,min:1  avg:50.73519163763066  max:141,min:2  avg:80.92359932088286  max:190,min:1  avg:6.083109919571045  max:117,Radius: 500 Cooldown: 50 MinOffset: 1.3
3.0,2024-10-07T19:19:25.621992900,ENDE_EINER_SPUR,500,true,349,66,8,146.4046822742475,1745.1222927791312,min:1  avg:16.18888888888889  max:97,min:1  avg:53.572649572649574  max:190,min:1  avg:79.11447811447812  max:167,min:1  avg:6.044692737430168  max:130,Radius: 500 Cooldown: 50 MinOffset: 1.5
3.0,2024-10-07T19:24:46.660879300,ENDE_EINER_SPUR,500,true,348,65,7,145.96290050590218,1771.0695308711024,min:1  avg:16.93592677345538  max:86,min:1  avg:53.694885361552025  max:169,min:1  avg:79.19694397283531  max:186,min:1  avg:6.354570637119114  max:122,Radius: 500 Cooldown: 50 MinOffset: 1.7
3.0,2024-10-07T19:30:14.579858500,ENDE_EINER_SPUR,500,true,358,68,6,148.62437395659433,1752.5065837600603,min:1  avg:13.213963963963964  max:51,min:1  avg:58.04974271012007  max:181,min:1  avg:80.59795570698466  max:170,min:1  avg:6.070652173913044  max:119,Radius: 500 Cooldown: 50 MinOffset: 1.9
3.0,2024-10-07T19:35:46.023784500,ENDE_EINER_SPUR,500,true,337,93,12,149.19689119170985,1766.0984626804893,min:1  avg:18.236363636363638  max:115,min:1  avg:56.59107142857143  max:207,min:1  avg:78.02260869565217  max:190,min:1  avg:5.752840909090909  max:118,Radius: 500 Cooldown: 70 MinOffset: 1.1
